作品名,映画ID,年,公開日,興収(億円),区分,配給会社,あらすじ,監督,脚本,キャスト,脚本家,プロデューサー,コピーライト,,,
劇場版「進撃の巨人」完結編 THE LAST ATTACK,102296,2024,2024/11/22,14.5,邦画,ポニーキャニオン,"人気テレビアニメ「進撃の巨人」の完結編を再構築した劇場版。襲い来る謎の巨人の脅威にさらされた人類が巨大な壁を築いて生きる世界を舞台に、少年エレン・イェーガーが巨人をこの世から駆逐するために繰り広げる壮絶な戦いを描く。

巨人と戦う調査兵団の一員となり、命懸けの戦いを続ける中で自らも巨人となる能力を得たエレンは、人類の勝利に貢献しながらも少しずつ世界の真実へと近づいていく。やがて時は流れ、壁の外へと出たエレンは調査兵団の仲間と袂を分かつ。そして、無数の巨人を率いて、この世界の生きとし生ける者すべてを踏み潰す「地鳴らし」という恐ろしい計画を実行する。ミカサやアルミンら残された者たちは、世界を滅ぼそうとするエレンを止めるべく、最後の戦いに挑む。

2023年にテレビ放送された「『進撃の巨人』The Final Season 完結編」の本編を、林祐一郎監督自らの指揮によってブラッシュアップし、5.1chサラウンド音響による145分の劇場版に再構築した。",林祐一郎,諫山創,"梶裕貴, 石川由依, 井上麻里奈, 下野紘, 三上枝織, 谷山紀章, 嶋村侑, 細谷佳正, 朴璐美, 神谷浩史, 子安武人, 花江夏樹, 佐倉綾音, 沼倉愛美",,,(C)諫山創・講談社／「進撃の巨人」The Final Season製作委員会,,1,1
室井慎次 生き続ける者,101719,2024,2024/11/15,17,邦画,東宝,"1997年に放送されたテレビドラマのほか、映画版も大ヒットを記録してきた人気警察ドラマ「踊る大捜査線」。同シリーズの中心人物のひとりで、柳葉敏郎が演じる室井慎次を主人公に描いた映画2部作の後編。

警察を辞めて故郷の秋田に戻り、事件被害者・加害者家族の支援をしたいという思いから、タカとリクという2人の少年を引き取り、暮らしていた室井慎次。しかし、彼の家のそばで他殺死体が発見され、さらにかつて湾岸所を占拠した猟奇殺人犯・日向真奈美の娘だという少女・日向杏が現れたことから、穏やかな日常は徐々に変化していく。かつての同僚であり今は秋田県警本部長になっていた新城に頼まれ、警視庁捜査一家の若手刑事・桜とともに捜査に協力することになった室井。そんな彼のもとに、服役を経て出所してきたリクの父親が訪ねてくる。

柳葉や筧利夫、真矢ミキらシリーズおなじみのベテランキャストたちに加え、日向杏役の福本莉子、タカ役の齋藤潤、桜役の松下洸平ら新たなキャストも出演。メインスタッフにも、プロデュースに亀山千広、脚本に君塚良一、監督に本広克行と「踊る大捜査線」シリーズを支えてきた顔ぶれがそろった。",本広克行,,"柳葉敏郎, 福本莉子, 齋藤潤, 前山くうが, 前山こうが, 松下洸平, 矢本悠馬, 丹生明里, 松本岳, 西村直人, 真矢ミキ, 筧利夫, 飯島直子, 小沢仁志, 木場勝己, 加藤浩次, 稲森いずみ, いしだあゆみ, マギー, 小泉今日子, 織田裕二, 小野賢章",君塚良一,梶本圭,(C)2024 フジテレビジョン ビーエスフジ 東宝,,1,1
ヴェノム：ザ・ラストダンス,101865,2024,2024/11/1,15.1,洋画,SPE,"スパイダーマンの宿敵としても知られるマーベルコミックのダークヒーロー、ヴェノムの活躍を描いた人気シリーズの第3作。ヴェノムや前作で戦ったカーネイジら「シンビオート」と呼ばれる地球外生命体の創造主である最強の敵・邪神ヌルが登場し、主人公エディとヴェノムが最後の戦いに身を投じる。

ジャーナリストのエディ・ブロックに地球外生命体シンビオートが寄生したことで生まれたヴェノムは、強靭で真っ黒な肉体と鋭い牙を武器に、長くのびる舌で人を喰らう恐るべき存在でありながらも、エディと一心同体となって強敵カーネイジを倒し、世界の危機を救った。しかし、その戦いの結果、政府機関から追われる身となったエディとヴェノムは、メキシコに逃亡していた。そんな彼らの前に、地球外から新たな脅威が飛来する。ヴェノムらシンビオートの創造主であり、いまは宇宙の果てに封じられている邪神ヌルが、ヴェノムの持つあるものを狙い、シンビオートハンターのゼノファージを差し向けたことで、エディとヴェノムは新たな戦いに巻き込まれていく。

シリーズ過去2作で脚本や製作を務めてきたケリー・マーセルが、今作でも原案、脚本、製作を務めたほか、自らメガホンもとり、映画監督デビューを果たした。共演はキウェテル・イジョフォー、ジュノー・テンプル、リス・エバンス、前作から引き続きの登場となるスティーブン・グレアムら。",ケリー・マーセル,"トム・ハーディ, ケリー・マーセル","トム・ハーディ, キウェテル・イジョフォー, ジュノー・テンプル, リス・エバンス, ペギー・ルー, アラナ・ユーバック, スティーブン・グレアム, クラーク・バッコ, アンディ・サーキス, クリスト・フェルナンデス",ケリー・マーセル,,(C)2024 CTMG. (C)& TM 2024 MARVEL. All Rights Reserved.,,1,1
室井慎次 敗れざる者,101442,2024,2024/10/11,18.9,邦画,東宝,"1997年に放送開始され映画版も大ヒットを記録したテレビドラマ「踊る大捜査線」シリーズで柳葉敏郎が演じる人気キャラクター、室井慎次を主人公に描く映画2部作の前編。

これまで現場の捜査員のために戦い続け、警察の組織改革に挑むなど波乱に満ちた警察人生を歩んできた室井慎次。27年前に青島と交わした約束を果たせなかったことを悔やむ彼は、警察を辞めて故郷・秋田へ帰り、「事件の被害者家族・加害者家族を支援したい」との思いから、少年たちと穏やかに暮らしていた。ある日、室井の前に謎の少女が現れる。彼女の来訪とともに他殺と思われる死体が見つかり、室井はその第一発見者となってしまう。その少女・日向杏は、かつて湾岸署が逮捕した猟奇殺人犯・日向真奈美の娘だった。

室井役の柳葉敏郎、新城賢太郎役の筧利夫、沖田仁美役の真矢ミキらおなじみのキャストに加え、日向杏を演じる福本莉子や、齋藤潤、松下洸平ら新たなキャストも出演。スタッフ陣もプロデュースの亀山千広、脚本の君塚良一、監督の本広克行ら「踊る大捜査線」シリーズを支えてきたメンバーが再結集した。",本広克行,,"柳葉敏郎, 福本莉子, 齋藤潤, 前山くうが, 前山こうが, 松下洸平, 矢本悠馬, 生駒里奈, 丹生明里, 松本岳, 佐々木希, 筧利夫, 甲本雅裕, 遠山俊也, 西村直人, 赤ペン瀧川, 升毅, 真矢ミキ, 飯島直子, 小沢仁志, 木場勝己, 加藤浩次, 稲森いずみ, いしだあゆみ",君塚良一,梶本圭,(C)2024 フジテレビジョン ビーエスフジ 東宝,,1,1
ジョーカー：フォリ・ア・ドゥ,98960,2024,2024/10/4,11.6,洋画,WB,"「バットマン」に悪役として登場するジョーカーの誕生秘話を描き、第76回ベネチア国際映画祭で金獅子賞、第92回アカデミー賞で主演男優賞を受賞するなど高い評価を得たサスペンスエンターテインメント「ジョーカー」の続編。トッド・フィリップス監督と主演のホアキン・フェニックスが再タッグを組み、ジョーカーが出会う謎の女リー役でレディー・ガガが新たに参加した。

理不尽な世の中で社会への反逆者、民衆の代弁者として祭り上げられたジョーカー。そんな彼の前にリーという謎めいた女性が現れる。ジョーカーの狂気はリーへ、そして群衆へと伝播し、拡散していく。孤独で心優しかった男が悪のカリスマとなって暴走し、世界を巻き込む新たな事件が起こる。

トッド・フィリップス監督のほか、脚本のスコット・シルバー、撮影のローレンス・シャー、前作でアカデミー作曲賞を受賞した音楽のヒドゥル・グドナドッティルらメインスタッフも続投。第81回ベネチア国際映画祭コンペティション部門出品。タイトルの「フォリ・ア・ドゥ（Folie à deux）」は、フランス語で「2人狂い」という意味で、ひとりの妄想がもうひとりに感染し、2人ないし複数人で妄想を共有することがある感応精神病のこと。",トッド・フィリップス,,"ホアキン・フェニックス, レディー・ガガ, ブレンダン・グリーソン, キャサリン・キーナー, ザジー・ビーツ, リー・ギル, ハリー・ローティー, スティーブ・クーガン, ジェイコブ・ロフランド, ケン・レオン, シャロン・ワシントン, ビル・スミトロビッチ, コナー・ストーリー",スコット・シルバー,,(C) & TM DC (C) 2024 Warner Bros. Ent. All Rights Reserved,,1,1
劇場版「オーバーロード」聖王国編,95005,2024,2024/9/20,10.3,邦画,KADOKAWA,"丸山くがねの人気ライトノベルを原作とするテレビアニメ「オーバーロード」シリーズの劇場版で、原作でも人気の高い「聖王国編」のエピソードをアニメ化。

聖王女カルカを元首とするローブル聖王国は長大な城壁にその国土を守られてきたが、魔皇ヤルダバオトと亜人連合軍の突然の侵攻により、平和な時代は終わりを迎えた。聖騎士団長レメディオスと神官団長ケラルトの姉妹を中心に戦力を結集して迎え撃つ聖王国だったが、ヤルダバオトとの圧倒的な戦力差になすすべもなく、国家は崩壊の危機に瀕してしまう。レメディオスはヤルダバオトに対抗しうる力を求め、聖騎士団と従者ネイアを伴ってアインズ・ウール・ゴウン魔導国へ向かう。そこは聖王国の人々が忌み嫌う、アンデッドが統べる異形の国家だった。

テレビアニメに続いて伊藤尚往が監督を務め、マッドハウスがアニメーション制作を担当。",伊藤尚往,丸山くがね,"日野聡, 原由実, 加藤将之, 瀬戸麻沙美, 青山吉能, 生天目仁美, 早見沙織, 戸松遥",伊藤尚往,,(C)丸山くがね・ KADOKAWA 刊／劇場版「オーバーロード」聖王国編製作委員会,,1,1
スオミの話をしよう,100900,2024,2024/9/13,17.7,邦画,東宝,"三谷幸喜が「記憶にございません！」以来5年ぶりに手がけた映画監督・脚本作品。長澤まさみを主演に迎え、突然失踪した女性と、彼女について語り出す5人の男たちを描いたミステリーコメディ。

豪邸に暮らす著名な詩人・寒川の新妻・スオミが行方不明となった。豪邸を訪れた刑事の草野はスオミの元夫で、すぐにでも捜査を開始すべきだと主張するが、寒川は「大ごとにしたくない」と、その提案を拒否する。やがて、スオミを知る男たちが次々と屋敷にやってくる。誰が一番スオミを愛していたのか、誰が一番スオミに愛されていたのか。安否をそっちのけでスオミについて熱く語り合う男たち。しかし、男たちの口から語られるスオミはそれぞれがまったく違う性格の女性で……。

三谷が脚本を手がけたNHK大河ドラマ「鎌倉殿の13人」では語り部を担当した長澤が、ミステリアスなスオミ役を演じた。スオミを知る5人の男たちは、元夫の刑事・草野役を西島秀俊、現夫の詩人・寒川役を三谷監督作品初出演となる坂東彌十郎、ユーチューバー・十勝役を松坂桃李、庭師・魚山役を遠藤憲一、警察官・宇賀神役を小林隆がそれぞれ担当した。",三谷幸喜,,"長澤まさみ, 西島秀俊, 松坂桃李, 瀬戸康史, 遠藤憲一, 小林隆, 坂東彌十郎, 戸塚純貴, 阿南健治, 梶原善, 宮澤エマ",三谷幸喜,玉井宏昌,(C)2024「スオミの話をしよう」製作委員会,,1,1
わんだふるぷりきゅあ！ざ・むーびー！ドキドキ・ゲームの世界で大冒険！,101427,2024,2024/9/13,12.4,邦画,東映,"「プリキュア」シリーズの21作目として2024年2月から放送のテレビアニメ「わんだふるぷりきゅあ！」の劇場版。

人気ゲーム「ドキドキ・タヌキングダム」で遊ぶため集まったこむぎたち。ところが、みんなで仲良くゲームで遊んでいたところ、突然、あやしいタヌキがいるゲームの世界に吸い込まれてしまう。大好きないろはやみんなと離れ離れになってしまったこむぎは、いろはに会うためにさまざまなゲーム対決に挑むことになる。しかし、ゲームの世界には隠された秘密があり、その鍵はゲームを作った少女ナツキが握っていた。

2023～24年に放送されたシリーズ前作「ひろがるスカイ！プリキュア」と2016～17年のシリーズ13作目「魔法つかいプリキュア！」のプリキュアたちも登場する。監督は「プリキュア」シリーズの短編「Petit☆ドリームスターズ！レッツ・ラ・クッキン？ショータイム！」や劇場アニメ「ポッピンQ」を手がけた宮原直樹。

※映画タイトル「ドキドキ・ゲームの世界で大冒険！」と劇中ゲームタイトル「ドキドキ・タヌキングダム」の「・」はハートマークが正式表記",宮原直樹,東堂いづみ,"長縄まりあ, 種﨑敦美, 松田颯水, 上田麗奈, 関根明良, 加隈亜衣, 村瀬歩, 七瀬彩夏, 古賀葵, 高橋李依, 堀江由衣, 早見沙織, 齋藤彩夏, 寺島拓篤, 中村悠一, 立花慎之介, 花澤香菜, 三宅健太, 後藤淳平, 福徳秀介",加藤陽一,,(C)2024 わんだふるぷりきゅあ！ざ・むーびー！製作委員会,,1,1
Mrs. GREEN APPLE // The White Lounge in CINEMA,102126,2024,2024/9/6,19,邦画,松竹ODS事業室,"人気バンド「Mrs. GREEN APPLE」が2023年12月から24年3月にかけて敢行したファンクラブ会員限定ツアー「Mrs. GREEN APPLE 2023-2024 FC TOUR “The White Lounge”」のステージを収録し、新たな映像を加えて映画化。

結成10周年を迎えた2023年に第65回日本レコード大賞を受賞し、第74回NHK紅白歌合戦にも初出場を果たしたMrs. GREEN APPLE。これまでリリースした楽曲の総再生数が77億回（うち18曲が1億回以上／2024年6月30日時点）を超えるなど、絶大な人気を誇る彼らにとって初の音楽劇となったライブツアー「Mrs. GREEN APPLE 2023-2024 FC TOUR “The White Lounge”」では、「ケセラセラ」「ダンスホール」といった人気曲をはじめとする全演奏曲を新たにアレンジし直し、本格的なミュージカル手法を取り入れながら、全てが白で彩られた“ホワイトラウンジ”を舞台に紡がれる9つの物語が上演された。

音楽界のみならず演劇界からも大きな注目を集めた同ツアーの模様をカメラに収め、新たに撮影したシーンも追加して、コンセプチュアルで情感豊かな音楽エンタテインメントをスクリーンに映し出す。",,,"大森元貴, 若井滉斗, 藤澤涼架",スティーブン・チョボウスキー,,(C)「Mrs. GREEN APPLE // The White Lounge in CINEMA」製作委員会撮影：田中聖太郎写真事務所 / 金谷龍之介 / 古溪一道 / 高田梓,,1,1
ラストマイル,100881,2024,2024/8/23,59.6,邦画,東宝,"テレビドラマ「アンナチュラル」「MIU404」の監督・塚原あゆ子と脚本家・野木亜紀子が再タッグを組み、両シリーズと同じ世界線で起きた連続爆破事件の行方を描いたサスペンス映画。

流通業界最大のイベントである11月のブラックフライデー前夜、世界規模のショッピングサイトの関東センターから配送された段ボール箱が爆発する事件が発生し、やがて日本中を恐怖に陥れる連続爆破事件へと発展する。関東センター長に着任したばかりの舟渡エレナは、チームマネージャーの梨本孔とともに事態の収拾にあたるが……。

主人公・舟渡エレナを満島ひかり、梨本孔を岡田将生が演じ、事件に巻き込まれる関係者役で阿部サダヲとディーン・フジオカ、捜査を担当する刑事役で「アンナチュラル」の大倉孝二と「MIU404」の酒向芳が出演。さらに「アンナチュラル」から三澄ミコト役の石原さとみ、中堂系役の井浦新、久部六郎役の窪田正孝ら、「MIU404」から伊吹藍役の綾野剛、志摩一未役の星野源らが再結集する。主題歌も「アンナチュラル」「MIU404」に続き米津玄師が担当した。第48回日本アカデミー賞最優秀脚本賞受賞。",塚原あゆ子,,"満島ひかり, 岡田将生, ディーン・フジオカ, 大倉孝二, 酒向芳, 宇野祥平, 安藤玉恵, 丸山智己, 火野正平, 阿部サダヲ, 石原さとみ, 井浦新, 窪田正孝, 市川実日子, 竜星涼, 飯尾和樹, 吉田ウーロン太, 薬師丸ひろ子, 松重豊, 綾野剛, 星野源, 橋本じゅん, 前田旺志郎, 金井勇太, 永岡卓也, 麻生久美子, 望月歩, 中村倫也",野木亜紀子,新井順子,(C)2024「ラストマイル」製作委員会,,1,1
